epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6256,2.46287,3.00018,1.83359,0.37494,0.69439,0.47758,0.30422,1.53841,3.04307,1.13465,5.001e-05,5.001e-05,5.001e-05
2,14.7788,2.49186,2.97782,1.92582,0.36705,0.71772,0.4959,0.30554,1.55948,2.85069,1.14663,0.000115535,0.000115535,0.000115535
3,17.0636,1.91322,2.07487,1.39031,0.46908,0.65719,0.55987,0.3222,1.44527,0.97964,1.06977,0.000179739,0.000179739,0.000179739
4,19.688,1.34312,1.20122,1.00141,0.44811,0.56681,0.55727,0.35767,1.16662,1.1278,0.95233,0.000242624,0.000242624,0.000242624
5,22.3401,1.21713,0.94155,0.93478,0.57871,0.70106,0.60198,0.42982,1.02134,0.88523,0.8959,0.000304187,0.000304187,0.000304187
6,25.0852,1.14734,0.89395,0.90774,0.59336,0.80509,0.62934,0.46372,1.00631,0.86292,0.89019,0.000364431,0.000364431,0.000364431
7,27.7582,1.09132,0.79291,0.90528,0.62154,0.77579,0.66501,0.49874,0.98285,0.72313,0.88875,0.000423355,0.000423355,0.000423355
8,30.3647,1.07204,0.78402,0.88581,0.58897,0.72624,0.61977,0.46608,0.97551,0.7325,0.89015,0.000480958,0.000480958,0.000480958
9,32.8435,1.06188,0.81625,0.87524,0.577,0.80585,0.61694,0.46082,0.96523,0.84344,0.88482,0.000537241,0.000537241,0.000537241
10,35.1759,1.07318,0.75559,0.88655,0.65137,0.75606,0.674,0.50132,0.98802,0.70946,0.88545,0.000592203,0.000592203,0.000592203
11,37.7148,1.03567,0.70851,0.87302,0.64167,0.77282,0.69273,0.51921,1.00516,0.73301,0.89022,0.000645846,0.000645846,0.000645846
12,40.4387,1.06616,0.73194,0.86956,0.63615,0.74316,0.69255,0.5039,0.98616,0.72143,0.88605,0.000698168,0.000698168,0.000698168
13,42.7241,1.02091,0.7252,0.86943,0.67621,0.74403,0.70128,0.51313,0.99639,0.70182,0.88883,0.00074917,0.00074917,0.00074917
14,45.0601,0.97823,0.65977,0.87048,0.65421,0.59526,0.62649,0.45922,0.98366,0.77293,0.88078,0.000798851,0.000798851,0.000798851
15,47.3959,1.01675,0.71158,0.88151,0.75134,0.64456,0.63705,0.47556,0.94875,0.71398,0.8721,0.000847213,0.000847213,0.000847213
