epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3095,2.36771,2.82618,1.75978,0.57797,0.68214,0.57301,0.35187,1.26054,0.94901,1.01342,0.00015003,0.00015003,0.00015003
2,24.0967,1.30558,1.07267,0.96971,0.54536,0.7346,0.56542,0.37122,1.12945,0.81472,0.95094,0.000315162,0.000315162,0.000315162
3,30.4811,1.15399,0.86235,0.90633,0.58854,0.70714,0.67072,0.48003,1.03082,0.70644,0.90921,0.000478644,0.000478644,0.000478644
4,36.9594,1.0839,0.76892,0.89402,0.65165,0.65689,0.62581,0.46101,1.00645,0.73732,0.89873,0.000640476,0.000640476,0.000640476
5,42.1086,1.08038,0.78618,0.89242,0.58186,0.87111,0.63889,0.44642,1.11171,0.69988,0.92771,0.000800657,0.000800657,0.000800657
6,47.3734,1.08313,0.74839,0.89353,0.68838,0.68452,0.65682,0.43208,1.16106,0.75346,0.93984,0.000959188,0.000959188,0.000959188
7,53.4627,1.0673,0.73675,0.88656,0.79802,0.64205,0.66347,0.47748,1.04565,0.66897,0.90413,0.00111607,0.00111607,0.00111607
8,59.177,1.04119,0.74978,0.88402,0.66753,0.67094,0.68518,0.49163,1.02567,0.70817,0.89865,0.0012713,0.0012713,0.0012713
9,65.9656,1.04342,0.73584,0.88342,0.69208,0.72872,0.72097,0.50634,1.12847,0.67962,0.92387,0.00142488,0.00142488,0.00142488
10,71.5262,1.05013,0.73537,0.88724,0.69509,0.61546,0.66677,0.45506,1.13478,0.93264,0.93017,0.00157681,0.00157681,0.00157681
11,76.1768,1.07231,0.73592,0.89873,0.68641,0.73929,0.67038,0.46662,1.05926,0.78987,0.92684,0.00158448,0.00158448,0.00158448
12,80.8086,1.02563,0.70498,0.88583,0.46856,0.42976,0.42851,0.28962,1.20412,1.21035,0.95606,0.00157623,0.00157623,0.00157623
13,85.7334,1.05527,0.72862,0.89269,0.76453,0.62726,0.69127,0.49368,1.01795,0.66582,0.9036,0.00156798,0.00156798,0.00156798
14,90.7209,1.03588,0.72191,0.8819,0.622,0.52738,0.56742,0.4078,1.0747,0.79704,0.92676,0.00155973,0.00155973,0.00155973
15,95.4481,1.0306,0.69452,0.88145,0.5889,0.48452,0.57175,0.40033,1.09105,0.99285,0.93611,0.00155148,0.00155148,0.00155148
16,115.759,1.02038,0.73242,0.88391,0.54145,0.63333,0.63881,0.44495,1.10026,0.72155,0.9292,0.00154323,0.00154323,0.00154323
17,120.477,1.04348,0.69488,0.88895,0.68779,0.55476,0.61888,0.44363,1.06831,0.76961,0.92452,0.00153497,0.00153497,0.00153497
18,125.134,1.04399,0.72306,0.88964,0.52987,0.68306,0.63086,0.45778,0.98827,0.91893,0.90536,0.00152672,0.00152672,0.00152672
19,129.763,0.99208,0.69883,0.87495,0.65426,0.62165,0.63566,0.43819,1.09248,0.71013,0.92717,0.00151847,0.00151847,0.00151847
