epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4552,2.46287,3.00018,1.83359,0.37494,0.69439,0.47758,0.30422,1.53841,3.04307,1.13465,5.001e-05,5.001e-05,5.001e-05
2,13.5823,2.49186,2.97782,1.92582,0.36705,0.71772,0.4959,0.30554,1.55948,2.85069,1.14663,0.000110914,0.000110914,0.000110914
3,15.8539,1.93548,2.107,1.40689,0.51569,0.68018,0.57602,0.33331,1.41226,0.95292,1.05288,0.000165216,0.000165216,0.000165216
4,18.5119,1.35678,1.21736,1.00661,0.44088,0.5786,0.55716,0.34988,1.20694,1.17551,0.96688,0.000212918,0.000212918,0.000212918
5,21.1024,1.23189,0.96372,0.94014,0.60685,0.71039,0.60803,0.42846,1.04587,0.86849,0.90338,0.000254017,0.000254017,0.000254017
6,23.6475,1.15421,0.89671,0.9103,0.58688,0.78101,0.61742,0.45345,0.99368,0.88887,0.88847,0.000288516,0.000288516,0.000288516
7,26.3257,1.10452,0.79833,0.91135,0.61652,0.78246,0.63856,0.46823,0.99901,0.72763,0.89256,0.000316413,0.000316413,0.000316413
8,28.8699,1.09721,0.79437,0.89388,0.61228,0.77387,0.6669,0.49697,0.97771,0.67529,0.88778,0.000337709,0.000337709,0.000337709
9,31.7042,1.08821,0.82891,0.87883,0.6384,0.72344,0.63035,0.46862,0.96986,0.75035,0.88362,0.000352404,0.000352404,0.000352404
10,33.9973,1.0815,0.75808,0.88533,0.69357,0.73281,0.65431,0.48294,0.96536,0.72568,0.88101,0.000360497,0.000360497,0.000360497
11,39.8494,1.06456,0.75603,0.89153,0.66703,0.68649,0.64891,0.49405,0.97889,0.72751,0.88381,0.000361989,0.000361989,0.000361989
12,42.1957,1.06661,0.74702,0.8878,0.69292,0.69777,0.68596,0.52634,0.95879,0.65635,0.87467,0.00035688,0.00035688,0.00035688
13,44.8859,1.04697,0.71075,0.88651,0.66708,0.74649,0.70768,0.54538,0.93746,0.64801,0.86927,0.000345169,0.000345169,0.000345169
14,47.6699,1.00542,0.65572,0.88071,0.6388,0.77248,0.699,0.5323,0.95442,0.65449,0.87287,0.000326857,0.000326857,0.000326857
15,50.0073,0.97575,0.63208,0.87422,0.75282,0.69333,0.68043,0.50656,0.97324,0.67402,0.88148,0.000301944,0.000301944,0.000301944
16,52.3878,1.02394,0.69669,0.87989,0.72493,0.69386,0.69648,0.5302,0.9654,0.67938,0.87369,0.000270429,0.000270429,0.000270429
17,54.7998,0.98146,0.67198,0.86635,0.67654,0.69269,0.68358,0.51566,0.961,0.67779,0.87507,0.000232313,0.000232313,0.000232313
