epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7174,1.963,2.01843,1.44102,0.6295,0.59167,0.63305,0.35665,1.21006,1.0221,0.98695,0.00030006,0.00030006,0.00030006
2,15.4211,1.24747,0.87559,0.93013,0.54299,0.81117,0.5579,0.38375,1.08618,0.89914,0.91553,0.000613737,0.000613737,0.000613737
3,20.4733,1.13816,0.78871,0.90087,0.56425,0.65238,0.69915,0.50119,1.09863,0.7276,0.9283,0.000924278,0.000924278,0.000924278
4,25.5652,1.07137,0.79945,0.89559,0.48115,0.73571,0.59912,0.41736,1.05871,0.76537,0.91981,0.00123168,0.00123168,0.00123168
5,30.7338,1.04977,0.76408,0.89376,0.59674,0.69668,0.65966,0.4597,1.01342,0.781,0.90633,0.00153595,0.00153595,0.00153595
6,35.989,1.08532,0.74403,0.89936,0.61651,0.67976,0.65667,0.46731,1.05175,0.71513,0.91124,0.00162574,0.00162574,0.00162574
7,40.9174,1.03355,0.73128,0.88974,0.57068,0.70357,0.723,0.53621,0.98729,0.6754,0.903,0.00161749,0.00161749,0.00161749
8,45.8103,1.05017,0.75674,0.89104,0.83201,0.61071,0.70376,0.5092,0.98879,0.69159,0.89908,0.00160924,0.00160924,0.00160924
9,50.4204,1.04218,0.7301,0.89646,0.74802,0.6733,0.69367,0.48024,1.07032,0.70144,0.91003,0.00160099,0.00160099,0.00160099
10,55.4525,1.039,0.72355,0.88573,0.68198,0.59643,0.61158,0.44547,1.03818,0.68218,0.91321,0.00159274,0.00159274,0.00159274
11,60.548,1.06086,0.74519,0.89169,0.96274,0.63699,0.71978,0.51502,1.04093,0.64927,0.91653,0.00158448,0.00158448,0.00158448
12,65.0707,1.03617,0.71137,0.87743,0.75116,0.61049,0.70647,0.51547,1.01359,0.67931,0.90427,0.00157623,0.00157623,0.00157623
13,69.7287,1.04315,0.69558,0.89091,0.9368,0.57812,0.66468,0.49413,0.96645,0.67686,0.89083,0.00156798,0.00156798,0.00156798
14,74.6369,0.99999,0.70073,0.88277,0.57323,0.53214,0.56047,0.40936,0.9907,0.76859,0.88875,0.00155973,0.00155973,0.00155973
15,80.3469,1.0148,0.70025,0.8767,0.46244,0.61548,0.58425,0.42428,1.03022,0.6967,0.89924,0.00155148,0.00155148,0.00155148
16,85.2409,0.97846,0.6929,0.87856,0.61896,0.69862,0.7185,0.49181,1.08593,0.65914,0.92493,0.00154323,0.00154323,0.00154323
17,91.0467,1.00324,0.68773,0.87915,0.84754,0.52731,0.6104,0.44916,0.96203,0.73657,0.89533,0.00153497,0.00153497,0.00153497
