epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2843,2.44796,2.88032,1.8943,0.51115,0.61875,0.52075,0.33655,1.37167,1.92602,1.05098,0.00011669,0.00011669,0.00011669
2,16.7377,1.50049,1.38853,1.11007,0.47632,0.54658,0.54329,0.33201,1.24637,1.70116,0.98186,0.000248812,0.000248812,0.000248812
3,20.3352,1.25269,0.94167,0.93813,0.57708,0.75101,0.58698,0.42627,1.01943,0.85302,0.90499,0.000379614,0.000379614,0.000379614
4,23.9204,1.14364,0.82047,0.90723,0.71493,0.68719,0.70104,0.51082,1.03077,0.70485,0.90437,0.000509096,0.000509096,0.000509096
5,27.4653,1.09744,0.79409,0.90063,0.6795,0.8332,0.71819,0.5357,0.97682,0.67531,0.88926,0.000637257,0.000637257,0.000637257
6,31.037,1.06122,0.73398,0.89491,0.68778,0.76906,0.69594,0.51357,0.9987,0.74391,0.88936,0.000764099,0.000764099,0.000764099
7,34.3584,1.07474,0.76039,0.88768,0.58433,0.66412,0.64286,0.47424,1.00532,0.84955,0.89092,0.00088962,0.00088962,0.00088962
8,37.6424,1.07085,0.7513,0.88663,0.7198,0.64789,0.63414,0.44554,1.04494,0.8085,0.90654,0.00101382,0.00101382,0.00101382
9,40.9328,1.05006,0.75791,0.8834,0.62291,0.66754,0.66732,0.47768,1.01963,0.75368,0.89461,0.0011367,0.0011367,0.0011367
10,44.2094,1.04885,0.72936,0.87783,0.81154,0.64686,0.72676,0.52144,1.02384,0.72557,0.89303,0.00125826,0.00125826,0.00125826
11,47.4942,1.01477,0.74733,0.87726,0.52498,0.62491,0.57981,0.41615,1.0164,0.8249,0.88513,0.0013785,0.0013785,0.0013785
12,50.7747,1.05705,0.73547,0.89319,0.71832,0.61825,0.64514,0.46169,1.02386,0.75248,0.89176,0.00149742,0.00149742,0.00149742
13,54.6624,1.03854,0.69852,0.89067,0.759,0.66771,0.71575,0.52113,1.00377,0.78601,0.89206,0.00156798,0.00156798,0.00156798
14,57.877,1.04851,0.72774,0.88326,0.55363,0.51193,0.53605,0.38148,1.05886,0.94693,0.89849,0.00155973,0.00155973,0.00155973
15,61.1206,1.06702,0.76163,0.88833,0.61033,0.67706,0.64477,0.47449,0.9949,0.7953,0.88772,0.00155148,0.00155148,0.00155148
