epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2974,1.84671,1.88473,1.37204,0.56203,0.56434,0.56893,0.33054,1.24232,0.96306,0.99502,0.00031673,0.00031673,0.00031673
2,15.7697,1.23457,0.87754,0.93267,0.55854,0.71662,0.60079,0.37289,1.29453,0.82727,0.96889,0.000646912,0.000646912,0.000646912
3,20.9578,1.13084,0.80011,0.91103,0.60238,0.64547,0.59815,0.43438,1.07507,0.75086,0.91297,0.000973793,0.000973793,0.000973793
4,26.4646,1.10984,0.77141,0.90065,0.56802,0.60119,0.57298,0.37939,1.10578,0.73517,0.91936,0.00129737,0.00129737,0.00129737
5,31.98,1.12768,0.81842,0.91065,0.5613,0.80952,0.66663,0.47461,1.00866,0.75719,0.89801,0.00161765,0.00161765,0.00161765
6,51.353,1.07337,0.83619,0.90295,0.58538,0.61548,0.6396,0.46305,1.02511,0.72965,0.90142,0.00162574,0.00162574,0.00162574
7,55.3836,1.09052,0.76144,0.89194,0.48813,0.58952,0.5455,0.39582,0.98555,0.84308,0.89346,0.00161749,0.00161749,0.00161749
8,60.1688,1.06965,0.7324,0.88878,0.6464,0.51786,0.54842,0.36807,1.12154,0.77786,0.9517,0.00160924,0.00160924,0.00160924
9,64.7045,1.08633,0.78239,0.9002,0.56635,0.57857,0.57206,0.40179,1.01878,0.77643,0.90261,0.00160099,0.00160099,0.00160099
10,69.2934,1.03534,0.76068,0.88944,0.56453,0.7869,0.61018,0.43386,1.01225,0.7127,0.90307,0.00159274,0.00159274,0.00159274
11,73.9625,1.03305,0.74513,0.89025,0.61256,0.62846,0.60469,0.436,0.98887,0.71253,0.90024,0.00158448,0.00158448,0.00158448
12,78.8921,1.03916,0.72943,0.88923,0.86321,0.52738,0.60366,0.42794,1.05159,0.74949,0.91257,0.00157623,0.00157623,0.00157623
13,83.41,1.02438,0.74584,0.88592,0.68658,0.6619,0.7037,0.46915,1.10878,0.68899,0.93216,0.00156798,0.00156798,0.00156798
14,88.283,1.04602,0.69801,0.88832,0.58259,0.69881,0.68143,0.4957,0.97944,0.67072,0.89005,0.00155973,0.00155973,0.00155973
15,93.685,0.99255,0.7246,0.87387,0.62239,0.70833,0.70866,0.52371,1.00308,0.62375,0.89239,0.00155148,0.00155148,0.00155148
16,99.704,1.00767,0.70349,0.89094,0.52782,0.75,0.64526,0.46005,1.01586,0.68469,0.90804,0.00154323,0.00154323,0.00154323
17,105.116,0.99698,0.68258,0.86462,0.49834,0.5369,0.59173,0.41447,1.02704,0.80561,0.90599,0.00153497,0.00153497,0.00153497
18,111.772,0.99136,0.68416,0.88022,0.58535,0.78214,0.69083,0.51283,0.95443,0.68075,0.88361,0.00152672,0.00152672,0.00152672
19,116.874,1.00337,0.71125,0.88371,0.61435,0.68929,0.68834,0.50295,0.98402,0.66982,0.8937,0.00151847,0.00151847,0.00151847
20,121.8,0.98603,0.6504,0.87552,0.63163,0.54543,0.60732,0.45498,0.97129,0.67278,0.88452,0.00151022,0.00151022,0.00151022
21,126.188,0.9852,0.6712,0.87831,0.62493,0.60372,0.65186,0.46384,1.0338,0.71881,0.90314,0.00150197,0.00150197,0.00150197
22,144.654,0.98136,0.65169,0.87704,0.59063,0.70833,0.65331,0.47504,0.94976,0.62957,0.88466,0.00149372,0.00149372,0.00149372
23,148.625,0.97409,0.68891,0.86067,0.68731,0.64984,0.66058,0.46649,1.03422,0.71245,0.89886,0.00148546,0.00148546,0.00148546
24,153.376,0.97326,0.65373,0.87417,0.58242,0.70599,0.63199,0.47044,0.9874,0.71457,0.88666,0.00147721,0.00147721,0.00147721
25,158.244,0.94193,0.62068,0.86265,0.74314,0.60408,0.68496,0.49488,0.99432,0.62106,0.88659,0.00146896,0.00146896,0.00146896
